step_time_ms,method
157.62330000001157,Vanilla MPC
99.36449999997876,Vanilla MPC
101.59530000004224,Vanilla MPC
101.13209999997252,Vanilla MPC
102.14329999996608,Vanilla MPC
111.09620000001996,Vanilla MPC
102.40029999999933,Vanilla MPC
105.12019999998756,Vanilla MPC
101.69519999999466,Vanilla MPC
101.52599999997847,Vanilla MPC
115.39720000001807,Vanilla MPC
139.4905999999878,Vanilla MPC
111.78690000002689,Vanilla MPC
267.13970000002973,Vanilla MPC
275.82709999995814,Vanilla MPC
250.42930000000752,Vanilla MPC
225.89110000001256,Vanilla MPC
225.2442000000201,Vanilla MPC
164.8544999999899,Vanilla MPC
144.29519999998774,Vanilla MPC
187.34910000000582,Vanilla MPC
173.9329999999768,Vanilla MPC
162.21819999998388,Vanilla MPC
148.43710000002375,Vanilla MPC
803.9759999999774,Vanilla MPC
220.94459999999572,Vanilla MPC
205.00820000000886,Vanilla MPC
208.06740000000445,Vanilla MPC
189.13599999996222,Vanilla MPC
174.23739999998133,Vanilla MPC
156.2804000000142,Vanilla MPC
147.4638999999911,Vanilla MPC
166.99959999999692,Vanilla MPC
142.8662000000145,Vanilla MPC
144.17019999996228,Vanilla MPC
138.91549999999597,Vanilla MPC
172.90990000003603,Vanilla MPC
143.1299999999851,Vanilla MPC
160.5811000000017,Vanilla MPC
156.93540000000894,Vanilla MPC
207.19700000000785,Vanilla MPC
195.76289999997698,Vanilla MPC
212.00840000000198,Vanilla MPC
189.14339999997765,Vanilla MPC
178.3008999999538,Vanilla MPC
223.2543000000078,Vanilla MPC
420.51299999997127,Vanilla MPC
270.02010000001064,Vanilla MPC
233.38229999995974,Vanilla MPC
260.38919999996324,Vanilla MPC
276.2905999999816,Vanilla MPC
306.94979999998395,Vanilla MPC
335.8211000000324,Vanilla MPC
349.92369999997663,Vanilla MPC
287.12819999998374,Vanilla MPC
136.43400000000838,Vanilla MPC
124.88439999998491,Vanilla MPC
127.80939999998964,Vanilla MPC
127.67320000000382,Vanilla MPC
151.30290000001878,Vanilla MPC
158.65890000003446,Vanilla MPC
211.93210000001272,Vanilla MPC
201.02709999997614,Vanilla MPC
212.0175999999674,Vanilla MPC
168.4752999999546,Vanilla MPC
141.5266999999858,Vanilla MPC
119.8720000000435,Vanilla MPC
134.92329999996855,Vanilla MPC
156.70350000004873,Vanilla MPC
260.7772000000068,Vanilla MPC
279.94580000000724,Vanilla MPC
285.12209999996685,Vanilla MPC
216.9979999999896,Vanilla MPC
578.8501999999767,Vanilla MPC
237.98659999999927,Vanilla MPC
